,"22524000100120200002 Число организаций, осуществляющих образовательную деятельность по дополнительным общеобразовательным программам для детей и реализующих программы спортивной подготовки 2016-2017 гг.","22524000100120200002 Число организаций, осуществляющих образовательную деятельность по дополнительным общеобразовательным программам для детей и реализующих программы спортивной подготовки 2016-2017 гг."
,"2016 г.","2017 г."
"Российская Федерация","44918","56302"
"Центральный федеральный округ","11438,99","13772,99"
"Белгородская область","906","916"
"Брянская область","607","715"
"Владимирская область","137","488"
"Воронежская область","521","1106"
"Ивановская область","433","437"
"Калужская область","280","376"
"Костромская область","303","352"
"Курская область","527","598"
"Липецкая область","490","515"
"Московская область","2779","3164"
"Орловская область","500","526"
"Рязанская область","315","466"
"Смоленская область","613","670"
"Тамбовская область","687","680"
"Тверская область","428","587"
"Тульская область","630","704"
"Ярославская область","348","433"
"Город Москва столица Российской Федерации город федерального значения","935","1040"
"Северо-Западный федеральный округ","4769","5083,99"
"Республика Карелия","167","231"
"Республика Коми","434","442"
"Архангельская область","430","452"
"Ненецкий автономный округ (Архангельская область)","41","30"
"Архангельская область (без АО)","389","422"
"Вологодская область","639","695"
"Калининградская область","470","496,99"
"Ленинградская область","490","520"
"Мурманская область","355","362"
"Новгородская область","433","434"
"Псковская область","236","259"
"Город Санкт-Петербург город федерального значения","1115","1192"
"Южный федеральный округ (с 29.07.2016)","3839","6240"
"Республика Адыгея (Адыгея)","49","61"
"Республика Калмыкия","42","48"
"Республика Крым","160","708"
"Краснодарский край","754","2310"
"Астраханская область","259","328"
"Волгоградская область","953","1087"
"Ростовская область","1556","1619"
"Город федерального значения Севастополь","66","79"
"Северо-Кавказский федеральный округ","2103","3657"
"Республика Дагестан","252","1216"
"Республика Ингушетия*","19","156"
"Кабардино-Балкарская Республика","192","307"
"Карачаево-Черкесская Республика","160","193"
"Республика Северная Осетия-Алания","105","172"
"Чеченская Республика*","160","285"
"Ставропольский край","1215","1328"
"Приволжский федеральный округ","10206,99","12312,99"
"Республика Башкортостан","1199","1364"
"Республика Марий Эл","521","492"
"Республика Мордовия","153","177"
"Республика Татарстан (Татарстан)","1691","1889"
"Удмуртская Республика","220","1011"
"Чувашская Республика - Чувашия","292","362"
"Пермский край","1328","1343"
"Кировская область","569","594"
"Нижегородская область","1575","1617"
"Оренбургская область","723","855"
"Пензенская область","494","512"
"Самарская область","397","686"
"Саратовская область","663","981"
"Ульяновская область","382","430"
"Уральский федеральный округ","4245,99","4883"
"Курганская область","399","435"
"Свердловская область","1550","1747"
"Тюменская область","1371","1418"
"Ханты-Мансийский автономный округ - Югра (Тюменская область)","617","650"
"Ямало-Ненецкий автономный округ (Тюменская область)","349","352"
"Тюменская область (без АО)","405","416"
"Челябинская область","926","1283"
"Сибирский федеральный округ","5682","7289"
"Республика Алтай","215","222"
"Республика Бурятия","459","426"
"Республика Тыва","239","298"
"Республика Хакасия","315","318"
"Алтайский край","486","662"
"Забайкальский край","168","570"
"Красноярский край","1019","1195"
"Иркутская область","888","1011"
"Кемеровская область - Кузбасс","711","838"
"Новосибирская область","454","599"
"Омская область","549","624"
"Томская область","179","526"
"Дальневосточный федеральный округ","2633","3063"
"Республика Саха (Якутия)","608","900"
"Камчатский край","174","182"
"Приморский край","701","718"
"Хабаровский край","439","492"
"Амурская область","278","289"
"Магаданская область","77","86"
"Сахалинская область","236","268"
"Еврейская автономная область","75","84"
"Чукотский автономный округ","45","44"